n: 258, s: 952, Numero de iteraciones: 100, Tiempo estimado de falla: 3.70887362663428, Desviacion estandar de los tiempos de falla: 0.11658078152602733
n: 509, s: 373, Numero de iteraciones: 100, Tiempo estimado de falla: 0.7367157040632744, Desviacion estandar de los tiempos de falla: 0.04114701661821762
n: 216, s: 254, Numero de iteraciones: 100, Tiempo estimado de falla: 1.1840019396914632, Desviacion estandar de los tiempos de falla: 0.0747163372498621
n: 453, s: 724, Numero de iteraciones: 100, Tiempo estimado de falla: 1.594153910665576, Desviacion estandar de los tiempos de falla: 0.05785646127280618
n: 21, s: 959, Numero de iteraciones: 2501, Tiempo estimado de falla: 47.98663518325198, Desviacion estandar de los tiempos de falla: 1.0001485165473287
n: 148, s: 799, Numero de iteraciones: 2499, Tiempo estimado de falla: 5.442799692365653, Desviacion estandar de los tiempos de falla: 0.9996061839353346
n: 349, s: 593, Numero de iteraciones: 100, Tiempo estimado de falla: 1.7231288227950465, Desviacion estandar de los tiempos de falla: 0.07115686254003281
n: 512, s: 954, Numero de iteraciones: 100, Tiempo estimado de falla: 1.871115120940672, Desviacion estandar de los tiempos de falla: 0.06118198133937272
n: 957, s: 827, Numero de iteraciones: 100, Tiempo estimado de falla: 0.8661593189235026, Desviacion estandar de los tiempos de falla: 0.02707968317112158
n: 235, s: 959, Numero de iteraciones: 100, Tiempo estimado de falla: 4.109875649228701, Desviacion estandar de los tiempos de falla: 0.13549155593935674
n: 866, s: 53, Numero de iteraciones: 100, Tiempo estimado de falla: 0.06277834225935333, Desviacion estandar de los tiempos de falla: 0.008021223191003872
n: 809, s: 821, Numero de iteraciones: 100, Tiempo estimado de falla: 1.0144766878133018, Desviacion estandar de los tiempos de falla: 0.032294360386731544
n: 264, s: 615, Numero de iteraciones: 100, Tiempo estimado de falla: 2.344556479702495, Desviacion estandar de los tiempos de falla: 0.10418973758830836
n: 522, s: 879, Numero de iteraciones: 100, Tiempo estimado de falla: 1.6874016513607568, Desviacion estandar de los tiempos de falla: 0.06838969829667504
n: 349, s: 843, Numero de iteraciones: 100, Tiempo estimado de falla: 2.426845592426442, Desviacion estandar de los tiempos de falla: 0.07610092122605434
n: 481, s: 303, Numero de iteraciones: 100, Tiempo estimado de falla: 0.6321434970225226, Desviacion estandar de los tiempos de falla: 0.03518299907535426
n: 901, s: 672, Numero de iteraciones: 100, Tiempo estimado de falla: 0.7488126475801896, Desviacion estandar de los tiempos de falla: 0.03173340541501679
n: 349, s: 821, Numero de iteraciones: 100, Tiempo estimado de falla: 2.360943171772313, Desviacion estandar de los tiempos de falla: 0.084921160973178
n: 22, s: 274, Numero de iteraciones: 2500, Tiempo estimado de falla: 13.094565873274947, Desviacion estandar de los tiempos de falla: 0.9997662600936416
n: 499, s: 652, Numero de iteraciones: 100, Tiempo estimado de falla: 1.3145016406082888, Desviacion estandar de los tiempos de falla: 0.05332152056869133
n: 214, s: 992, Numero de iteraciones: 100, Tiempo estimado de falla: 4.6856326720127495, Desviacion estandar de los tiempos de falla: 0.14779344899145508
n: 821, s: 961, Numero de iteraciones: 100, Tiempo estimado de falla: 1.1665551607139375, Desviacion estandar de los tiempos de falla: 0.03663316867497151
n: 700, s: 577, Numero de iteraciones: 100, Tiempo estimado de falla: 0.8246815870240432, Desviacion estandar de los tiempos de falla: 0.034274302405744445
n: 980, s: 756, Numero de iteraciones: 100, Tiempo estimado de falla: 0.772142627270085, Desviacion estandar de los tiempos de falla: 0.02700505142588043
n: 303, s: 756, Numero de iteraciones: 100, Tiempo estimado de falla: 2.510087155078142, Desviacion estandar de los tiempos de falla: 0.08151813854331985
n: 50, s: 708, Numero de iteraciones: 2499, Tiempo estimado de falla: 14.478313756538414, Desviacion estandar de los tiempos de falla: 0.9996744458010703
n: 916, s: 754, Numero de iteraciones: 100, Tiempo estimado de falla: 0.824511614838655, Desviacion estandar de los tiempos de falla: 0.030050792028251904
n: 254, s: 331, Numero de iteraciones: 100, Tiempo estimado de falla: 1.3223032174816016, Desviacion estandar de los tiempos de falla: 0.0760716905187636
